v001,LATNUM,LONGNUM
1,0.320187631511,32.5682063677
2,0.340653350002,32.5936271164
3,0.313103244185,32.5665559657
4,0.353368071333,32.5581439634
5,0.367387686213,32.5943566295
6,0.358632151219,32.5655578887
7,0.379859123014,32.5676504154
8,0.367843107211,32.5556987257
9,0.375812217412,32.5909922795
10,0.354156502627,32.5854163027
11,0.334930302998,32.5607538623
12,0.339935413959,32.5645960033
13,0.339649439532,32.573541892
14,0.321586343724,32.5406379554
15,0.297321872137,32.5439370693
16,0.333287944956,32.5483096183
17,0.3292405435,32.5597637715
18,0.30548621477,32.5429969514
19,0.320129901586,32.5388042113
20,0.342636172677,32.5445732201
21,0.31763599334,32.5400486825
22,0.285404906835,32.5409752188
23,0.30435760554,32.570912935
24,0.330321739006,32.5583797035
25,0.292290874948,32.5596263383
26,0.288825643964,32.6309673631
27,0.256769844875,32.6366169584
28,0.28212371734,32.5951493059
29,0.315483963,32.591399445
30,0.303050567599,32.5962969135
31,0.293135925102,32.5725314871
32,0.290363566407,32.5938227778
33,0.271943687787,32.5878424261
34,0.286188895609,32.5778489796
35,0.296949098009,32.5838391581
36,0.266984096616,32.6091047005
37,0.312314079882,32.5970508167
38,0.347769190956,32.6048857864
39,0.370568722972,32.6038784194
40,0.332044334955,32.6384797752
41,0.388959006279,32.597001741
42,0.344806666483,32.627365442
43,0.307357110697,32.6486253475
44,0.301909519025,32.642829482
45,0.334812744317,32.6060216814
46,-0.322854885702,31.9867370089
47,-0.366113969319,31.7184213279
48,-0.284714262202,31.7590655154
49,-0.194976469028,31.8123080284
50,-0.0922330862719,31.7266529082
51,-0.135916753274,31.6602425888
52,-0.0438857202967,31.585777671
53,0.10364931914,31.5051106433
54,-0.296553866675,31.3934366624
55,-0.110797566309,31.431955929
56,-0.241244752487,31.2240399359
57,-0.325458698419,31.6251580693
58,-0.41578937619,31.4715521398
59,-0.897485719125,31.4723978178
60,-0.898894981747,31.2298488984
61,-0.605959670079,31.3520520439
62,-0.759788941608,31.2176649919
63,-0.637788868646,31.4154226049
64,-0.631488215446,31.569281254
65,0.221878136863,31.7703680265
66,0.281604119021,31.6021755119
67,0.116666027756,31.9905021639
68,-0.0114479304264,32.0685599448
69,0,0
70,0.315229757683,32.2966929569
71,0.439076921698,32.3224685517
72,0.0918839329827,32.5168564438
73,0.088866983937,32.4979161221
74,0.275056412019,32.4582626877
75,0.241731717671,32.5241341404
76,0.249496748939,32.4491053936
77,0.130137236865,32.4990380477
78,0.366038042037,32.5166233687
79,0.334690869433,32.5091786904
80,0.443049344112,32.6152364498
81,0.43873295215,32.5437559649
82,-0.318177293285,31.7410015595
83,-0.324365548361,31.7609565399
84,-0.23497110735,31.4848033223
85,-0.394966991373,31.2358311312
86,0.185811328167,32.3159782072
87,0.534546358687,32.2537707167
88,0.401007993735,32.4676559288
89,0,0
90,0.460038478371,32.5282311086
91,0.370627912374,32.6814565222
92,0.392606255757,32.6313835838
93,0.362399967447,32.6576484081
94,0.362703323886,32.6486018945
95,0.251033982368,32.5565737592
96,0.274752658733,32.5555278528
97,0.283336099678,32.5282071433
98,0.240867388505,32.5896422681
99,0.389529411574,32.5457884642
100,0.399447263515,32.5476578593
101,0.35708026208,32.5493143234
102,1.17524670009,32.4156536428
103,1.50798018245,32.5104624508
104,0.726339324637,32.4396955872
105,1.3006522438,31.899481501
106,1.01271064604,31.5846562698
107,0,0
108,0.641479026082,32.0241685357
109,0.788869856886,31.8995898995
110,0.598641070047,31.5304754699
111,0.63547512632,31.557086127
112,0.518697448862,31.2932795571
113,0.411186792879,31.2420103371
114,0.562322843147,31.6976157625
115,0.642594428752,31.8006416224
116,0.460918608209,31.9448809616
117,0.332237497509,31.9343030047
118,0.53824849751,31.91876108
119,0.574232405666,32.110493965
120,0.577773596348,32.6415624261
121,0.867683252647,32.6544948497
122,0.944791759267,32.5234725325
123,0.856831953769,32.4438083501
124,1.09586321626,32.8780607998
125,0.875607280671,32.893435691
126,0.755486581632,33.0064054276
127,0.77229078582,32.9126628937
128,0.451949068346,32.7207598033
129,0.249784451877,32.8798505791
130,0.436326472071,32.8001714946
131,0.619267863473,32.884335151
132,0.602549187215,32.7833249044
133,0.671262908124,32.7622231768
134,0.292240974885,33.1025993556
135,1.06702864315,32.4557434537
136,0.949817647637,31.5987104989
137,0.576012456222,31.399954636
138,0.346799305186,32.0336355531
139,0.392478968504,32.0747555856
140,0.86248999523,32.4934180359
141,0.368269629487,32.7616097373
142,0.431973828053,32.6958384185
143,0.360490932808,32.7165049409
144,0.367140197038,32.9311743282
145,0.441797586285,33.1716533499
146,0.364068794211,33.1967480629
147,0.224903677132,33.8585268943
148,0.421978327249,33.8933718694
149,0.529629758718,33.3767960336
150,0.391346331128,33.5028817045
151,0.321060448407,33.5465795711
152,0.500964477541,33.8146791043
153,0.527984121757,33.650847263
154,0.490952467658,33.7625897148
155,0.672283222565,33.6296898869
156,0.46358112882,33.6084816465
157,0.786744878678,33.404972039
158,0.591051639736,33.5195139687
159,0.81309957574,33.4179115423
160,0.488236049274,33.2254397985
161,0.490418060767,33.241991275
162,0.583608024847,33.1326287567
163,0.662212440389,33.2401727369
164,0.817884837631,33.3042878099
165,0.680693312413,33.2919423568
166,1.05114247911,33.070655617
167,0.86562001089,33.1497689608
168,0.902094038342,33.2529124938
169,0.724100009973,33.0905171685
170,0.694085848351,33.2125980002
171,1.03324752071,33.3056013274
172,1.15688680376,33.3190948544
173,1.30422269449,33.055759308
174,1.0939075398,33.5033398065
175,1.14275314769,33.404998232
176,0.777082071466,33.7956761718
177,0.883187215306,33.7417615055
178,0.323389234287,33.8708092237
179,0.529367804585,33.8664060898
180,0.603370692696,33.4788676039
181,0.463288593616,33.2408925489
182,0.422176369817,33.2082179218
183,0.438672903788,33.2176970997
184,0.972978868603,33.1317743705
185,0.347374981005,34.0530658308
186,0.257588888612,33.972351552
187,0.569170491846,34.1003481571
188,0.43187939341,34.0472568595
189,0.263208931803,33.984729415
190,0.414114085888,34.0202442876
191,0.723697235971,34.2257344786
192,0.824837773222,34.1273043778
193,0.76525597233,34.1989234234
194,0.705020411827,34.2085694615
195,0.600485986975,34.0165635984
196,0.745076510014,34.0945911837
197,0.668156152119,34.0341420446
198,0.686032106202,33.9704629675
199,0.870243411736,34.0177637623
200,0.654649032314,34.0966869029
201,0.81373569824,34.0513438808
202,0.847267549352,33.846680637
203,0.914642959987,34.0041557118
204,0.92969728003,34.0123877827
205,0.888151433504,33.9077535584
206,0,0
207,1.0991760944,33.8816835578
208,1.10042049851,33.6863279405
209,0.980852801882,33.7383727122
210,1.16147473019,34.1084600285
211,1.18605171542,33.7831026647
212,1.18642638439,33.8867246639
213,1.18251229805,33.6820766755
214,1.27668504,33.7075400939
215,1.21248229785,33.6779710449
216,1.27867389204,33.8021500749
217,1.08780304912,33.9199270671
218,1.00533754463,33.898235473
219,1.09679034076,34.0614213464
220,0.466628134537,34.0883627928
221,0.476862822752,34.0832486549
222,0.668211764147,34.1901504829
223,0.701300123399,34.1718526612
224,0.908599253747,33.9655002122
225,1.17030628246,33.7175053656
226,1.09283640142,34.2767429715
227,1.04621088835,34.1756276146
228,0.95644003067,34.2303272331
229,0.910679845102,34.1982252559
230,1.01614360976,34.1558206804
231,1.05396541899,34.1887838866
232,0.913040229776,34.1850757915
233,1.10129264687,34.1407290934
234,1.16275393672,34.1957896769
235,0.810925210548,34.3054058192
236,0.871118976904,34.2794715976
237,0.870548113864,34.2965228325
238,0.844467796396,34.310821202
239,0.923687976676,34.2495566457
240,0.846367202409,34.350364886
241,0.778737148585,34.291364337
242,1.00128977428,34.3683510107
243,1.02324227779,34.3541603195
244,1.05831084891,34.4197082383
245,1.08431210154,34.4119687803
246,1.15750653337,34.3812528521
