"v001","v002","v003","v012","v133","v535","v751","adult_radio_regular","sex"
1,1,2,19,15,0,1,0,"female"
1,3,2,25,9,NA,1,1,"female"
1,4,1,40,5,1,1,0,"female"
1,4,2,21,6,NA,1,0,"female"
1,4,3,16,9,0,1,0,"female"
1,4,4,18,11,0,1,1,"female"
1,4,6,23,5,1,1,0,"female"
1,4,7,30,6,1,1,0,"female"
1,4,8,27,10,0,1,0,"female"
1,5,1,26,8,NA,1,1,"female"
1,6,1,34,9,NA,1,0,"female"
1,7,1,38,11,NA,1,0,"female"
1,7,2,19,13,0,1,0,"female"
1,8,2,24,7,NA,1,1,"female"
1,10,3,43,15,NA,1,0,"female"
1,10,5,17,12,0,1,0,"female"
1,10,6,15,9,0,1,0,"female"
1,10,11,17,10,0,1,0,"female"
1,11,2,23,11,NA,1,0,"female"
1,11,5,18,11,0,1,0,"female"
1,13,1,29,7,NA,1,0,"female"
1,15,2,22,11,0,1,0,"female"
1,16,1,49,4,1,1,1,"female"
1,17,2,33,15,NA,1,0,"female"
1,18,1,26,11,0,1,0,"female"
1,19,1,43,7,1,1,1,"female"
1,20,1,24,16,0,1,0,"female"
1,20,2,21,15,0,1,0,"female"
1,21,1,25,15,NA,1,0,"female"
1,21,2,28,14,0,1,1,"female"
1,21,3,24,13,0,1,1,"female"
1,21,4,27,13,0,1,1,"female"
1,24,1,22,6,NA,1,1,"female"
1,25,1,22,15,0,1,0,"female"
1,27,3,19,13,0,1,1,"female"
1,29,2,27,16,0,1,1,"female"
1,29,3,22,15,0,1,1,"female"
1,29,4,17,9,0,1,0,"female"
1,30,2,22,11,NA,1,1,"female"
2,4,2,29,7,NA,1,0,"female"
2,5,1,34,8,NA,1,0,"female"
2,6,2,19,11,NA,1,1,"female"
2,7,2,23,10,NA,1,1,"female"
2,9,2,26,6,NA,1,1,"female"
2,10,2,34,8,NA,1,0,"female"
2,15,2,28,16,NA,1,1,"female"
2,15,3,16,9,0,1,0,"female"
2,17,1,40,8,1,1,1,"female"
2,18,1,20,9,0,1,0,"female"
2,19,2,22,9,NA,1,0,"female"
2,20,1,31,0,NA,1,0,"female"
2,21,2,27,14,0,1,0,"female"
2,22,1,36,9,1,1,0,"female"
2,23,2,29,10,0,1,1,"female"
2,25,2,34,5,1,1,1,"female"
2,25,3,32,7,0,1,1,"female"
2,25,4,29,5,0,1,1,"female"
2,25,5,26,12,1,1,1,"female"
2,28,1,27,16,0,1,1,"female"
2,29,1,32,9,1,1,1,"female"
3,1,2,16,8,0,1,0,"female"
3,3,1,34,11,1,1,1,"female"
3,4,2,28,9,1,1,1,"female"
3,4,3,22,11,NA,1,0,"female"
3,6,2,31,6,NA,1,1,"female"
3,12,2,22,1,NA,1,1,"female"
3,13,2,42,11,NA,1,1,"female"
3,13,3,16,13,0,1,1,"female"
3,15,4,20,14,NA,1,1,"female"
3,15,5,17,9,0,1,1,"female"
3,16,3,16,4,0,1,1,"female"
3,17,2,29,6,NA,1,0,"female"
3,19,2,34,9,1,1,1,"female"
3,19,4,28,10,0,1,1,"female"
3,22,2,33,4,NA,1,0,"female"
3,22,4,17,6,NA,1,0,"female"
3,23,2,30,4,NA,1,0,"female"
3,24,2,38,7,NA,1,1,"female"
3,24,4,19,13,0,1,1,"female"
3,24,6,16,10,0,1,0,"female"
3,26,1,22,7,0,1,1,"female"
3,26,2,18,9,0,1,1,"female"
3,27,2,20,9,NA,1,1,"female"
3,29,4,18,9,0,1,1,"female"
3,30,1,24,11,NA,1,1,"female"
4,1,2,23,11,NA,1,1,"female"
4,2,1,27,5,1,1,0,"female"
4,3,1,24,9,1,1,1,"female"
4,4,2,36,7,NA,1,1,"female"
4,5,2,27,4,NA,1,1,"female"
4,7,2,21,14,NA,1,1,"female"
